date,entity,score
18/2/20,antpool,0.980164802
24/2/20,antpool,1.075849966
7/5/20,antpool,0.797640286
12/5/20,antpool,1.49011096
16/6/20,antpool,1.01750111
24/6/20,balancer,13.18323524
27/6/20,balancer,3.957398737
29/6/20,balancer,63.3357567
30/6/20,balancer,58.3812164
5/1/20,bancor,1.723420653
31/1/20,bancor,1.227906602
14/3/20,bancor,0.832503234
16/3/20,bancor,1.176053936
18/3/20,bancor,0.729087808
27/5/20,bancor,0.987716435
18/6/20,bancor,63.9168018
19/6/20,bancor,34.8187063
22/6/20,bancor,67.2137485
23/6/20,bancor,2.526722234
24/6/20,bancor,1.519065731
4/1/20,basic attention token,1.29757748
28/5/20,basic attention token,1.334249961
1/1/20,binance,3.657544383
3/1/20,binance,23.05904065
4/1/20,binance,2.334446112
6/1/20,binance,1.420625926
7/1/20,binance,1.729294102
8/1/20,binance,19.28248126
9/1/20,binance,17.54158824
10/1/20,binance,11.78520023
11/1/20,binance,1.602843687
12/1/20,binance,34.29158072
13/1/20,binance,50.17341758
14/1/20,binance,1.052081662
15/1/20,binance,4.675496538
16/1/20,binance,1.865141747
17/1/20,binance,1.957968206
18/1/20,binance,42.92841675
19/1/20,binance,2.015277755
20/1/20,binance,2.795696982
21/1/20,binance,1.367870987
22/1/20,binance,34.60282129
23/1/20,binance,1.408896743
24/1/20,binance,7.896763435
25/1/20,binance,2.370317798
27/1/20,binance,1.250519721
28/1/20,binance,1.448499438
30/1/20,binance,0.988797503
1/2/20,binance,1.402370976
2/2/20,binance,3.032401052
3/2/20,binance,3.850399504
4/2/20,binance,1.984074898
5/2/20,binance,7.68622989
6/2/20,binance,99.19421658
7/2/20,binance,8.224324331
8/2/20,binance,30.39613657
9/2/20,binance,1.399771414
10/2/20,binance,1.736584679
11/2/20,binance,3.233909164
12/2/20,binance,49.86902689
13/2/20,binance,4.468917189
14/2/20,binance,3.399972793
15/2/20,binance,31.03281662
16/2/20,binance,5.617031478
17/2/20,binance,2.011985991
18/2/20,binance,1.430831728
19/2/20,binance,21.34607242
20/2/20,binance,4.197851714
21/2/20,binance,12.80933318
22/2/20,binance,2.800688519
23/2/20,binance,1.253191047
24/2/20,binance,11.48595853
25/2/20,binance,91.95021077
26/2/20,binance,49.88013356
27/2/20,binance,1.198690711
28/2/20,binance,1.2761311
29/2/20,binance,1.973437946
1/3/20,binance,1.01119596
2/3/20,binance,31.75414816
3/3/20,binance,1.546980987
4/3/20,binance,12.34781542
5/3/20,binance,1.123515764
6/3/20,binance,2.003891837
7/3/20,binance,1.929150832
8/3/20,binance,13.08411757
9/3/20,binance,1.551012089
10/3/20,binance,34.6521914
11/3/20,binance,47.54103023
12/3/20,binance,18.06239609
13/3/20,binance,4.009479469
15/3/20,binance,61.77812183
16/3/20,binance,6.444307138
17/3/20,binance,1.978510005
18/3/20,binance,1.176998375
19/3/20,binance,1.761986783
20/3/20,binance,1.58387297
21/3/20,binance,1.676725398
22/3/20,binance,2.795648888
23/3/20,binance,4.00841291
24/3/20,binance,1.296140972
25/3/20,binance,5.333578026
26/3/20,binance,26.44375123
27/3/20,binance,35.40859581
28/3/20,binance,1.490919271
29/3/20,binance,95.54256326
30/3/20,binance,12.29538101
31/3/20,binance,2.231598613
2/4/20,binance,1.822683918
3/4/20,binance,1.561941439
4/4/20,binance,4.694677297
5/4/20,binance,1.268950577
6/4/20,binance,2.55594878
7/4/20,binance,46.91616928
8/4/20,binance,3.603071248
9/4/20,binance,40.22767251
10/4/20,binance,20.01129409
11/4/20,binance,1.219562419
12/4/20,binance,24.75050052
13/4/20,binance,20.79869422
14/4/20,binance,1.439983451
15/4/20,binance,3.866228191
16/4/20,binance,57.12338178
17/4/20,binance,37.9499986
18/4/20,binance,99.16805047
19/4/20,binance,24.71066198
20/4/20,binance,21.90798099
21/4/20,binance,1.7620197
22/4/20,binance,1.720776172
23/4/20,binance,50.2486466
24/4/20,binance,17.95121665
25/4/20,binance,3.588272817
26/4/20,binance,1.392109815
27/4/20,binance,1.156146966
28/4/20,binance,4.758967502
29/4/20,binance,35.61851892
30/4/20,binance,13.48402343
1/5/20,binance,24.64076056
2/5/20,binance,22.35525647
3/5/20,binance,21.63255182
4/5/20,binance,1.314040822
5/5/20,binance,12.89139285
6/5/20,binance,5.703658356
7/5/20,binance,19.92498467
8/5/20,binance,1.69698556
9/5/20,binance,1.578206425
10/5/20,binance,1.609792495
11/5/20,binance,18.51232464
12/5/20,binance,3.254248466
14/5/20,binance,4.425384458
15/5/20,binance,4.093407755
16/5/20,binance,1.36623603
17/5/20,binance,3.150504442
18/5/20,binance,1.009123284
19/5/20,binance,4.631346584
20/5/20,binance,14.80029807
21/5/20,binance,24.00498727
22/5/20,binance,4.467495921
23/5/20,binance,1.580385537
24/5/20,binance,2.142083418
25/5/20,binance,2.664833578
26/5/20,binance,1.224570322
27/5/20,binance,21.81217091
28/5/20,binance,2.944695056
29/5/20,binance,10.22667747
30/5/20,binance,3.788640568
31/5/20,binance,2.300443754
1/6/20,binance,49.8371675
2/6/20,binance,26.86202203
3/6/20,binance,0.996863062
4/6/20,binance,2.745088824
5/6/20,binance,28.73075259
6/6/20,binance,2.123588292
7/6/20,binance,1.479133312
8/6/20,binance,2.504437489
9/6/20,binance,23.45712939
10/6/20,binance,1.389174424
11/6/20,binance,13.00860507
12/6/20,binance,3.539791101
13/6/20,binance,11.74815239
14/6/20,binance,3.011247622
16/6/20,binance,1.962163344
18/6/20,binance,2.443909969
19/6/20,binance,13.11759613
20/6/20,binance,0.829314091
23/6/20,binance,3.547994101
24/6/20,binance,42.63835567
25/6/20,binance,6.558891134
28/6/20,binance,2.527259462
29/6/20,binance,1.412375961
30/6/20,binance,3.152795577
1/2/20,bitbox,4.238945443
15/3/20,bitbox,0.910492128
25/3/20,bitbox,1.685337775
6/4/20,bitbox,2.122507217
8/4/20,bitbox,1.188598856
3/5/20,bitbox,0.789837685
6/6/20,bitbox,1.35374443
19/6/20,bitbox,1.051777802
8/1/20,bitfinex,2.070606593
10/1/20,bitfinex,1.897606513
13/1/20,bitfinex,14.32656865
15/1/20,bitfinex,1.793949254
16/1/20,bitfinex,55.20656371
20/1/20,bitfinex,1.763505195
21/1/20,bitfinex,1.908858332
22/1/20,bitfinex,3.310427159
24/1/20,bitfinex,1.095932635
28/1/20,bitfinex,75.21045682
29/1/20,bitfinex,1.348033443
31/1/20,bitfinex,1.263083203
3/2/20,bitfinex,0.905890616
4/2/20,bitfinex,94.30918285
5/2/20,bitfinex,16.18732832
6/2/20,bitfinex,1.157155012
8/2/20,bitfinex,84.78694983
9/2/20,bitfinex,98.16683884
12/2/20,bitfinex,7.994510292
13/2/20,bitfinex,1.836511159
14/2/20,bitfinex,2.022635069
24/2/20,bitfinex,1.068267024
26/2/20,bitfinex,1.638254253
28/2/20,bitfinex,87.03894327
29/2/20,bitfinex,84.79409283
3/3/20,bitfinex,1.398341486
5/3/20,bitfinex,3.145023419
7/3/20,bitfinex,3.517714694
8/3/20,bitfinex,1.469704836
9/3/20,bitfinex,1.248005321
12/3/20,bitfinex,1.731852297
13/3/20,bitfinex,1.08149335
16/3/20,bitfinex,2.203586556
22/3/20,bitfinex,2.086536208
29/3/20,bitfinex,95.71409191
31/3/20,bitfinex,1.133305442
2/4/20,bitfinex,67.07854798
3/4/20,bitfinex,14.01049421
5/4/20,bitfinex,1.708309979
7/4/20,bitfinex,10.44731853
11/4/20,bitfinex,0.817955957
13/4/20,bitfinex,7.059638807
16/4/20,bitfinex,0.949035134
17/4/20,bitfinex,6.892838512
18/4/20,bitfinex,2.446184252
22/4/20,bitfinex,1.947547412
23/4/20,bitfinex,5.401375772
28/4/20,bitfinex,2.829035853
29/4/20,bitfinex,59.43330663
30/4/20,bitfinex,18.25161792
3/5/20,bitfinex,5.321793085
4/5/20,bitfinex,1.724778397
6/5/20,bitfinex,31.88347923
7/5/20,bitfinex,1.636676162
8/5/20,bitfinex,2.734238438
10/5/20,bitfinex,1.323894103
12/5/20,bitfinex,10.43388367
14/5/20,bitfinex,22.46634115
15/5/20,bitfinex,1.73476272
16/5/20,bitfinex,1.968999689
17/5/20,bitfinex,19.55304389
19/5/20,bitfinex,4.872350452
20/5/20,bitfinex,1.992247185
21/5/20,bitfinex,29.70529276
22/5/20,bitfinex,0.729607999
23/5/20,bitfinex,34.3876767
24/5/20,bitfinex,2.199578577
25/5/20,bitfinex,0.887762963
26/5/20,bitfinex,10.75093278
27/5/20,bitfinex,8.588221981
30/5/20,bitfinex,1.406426179
2/6/20,bitfinex,28.29663228
3/6/20,bitfinex,51.60802049
5/6/20,bitfinex,4.368060709
9/6/20,bitfinex,1.256665273
10/6/20,bitfinex,1.30270981
11/6/20,bitfinex,17.2135123
12/6/20,bitfinex,99.21715102
17/6/20,bitfinex,8.28636242
22/6/20,bitfinex,1.576734704
23/6/20,bitfinex,1.340761662
30/6/20,bitfinex,1.527442714
3/3/20,bitfront,99.25246498
12/3/20,bithumb,18.30771286
3/2/20,bitmart,93.32046406
19/2/20,bitmart,5.66498474
17/1/20,bitmax,0.683069459
29/3/20,bitmax,3.712575878
16/5/20,bitmax,3.392395686
21/5/20,bitmax,1.098439884
3/1/20,bitpanda,3.306543655
6/1/20,bitpanda,6.455545763
7/1/20,bitpanda,13.18673671
8/1/20,bitpanda,1.344412781
17/1/20,bitpanda,99.10254008
